repo_name,commit,author_name,commit_timestamp,message,is_corrective,is_adaptive,is_perfective,is_refactor,is_cursing,is_positive_sentiment,is_negative_sentiment,is_performance,files,non_test_files,code_files,code_non_test_files,duration
spotbugs/spotbugs,1ee1353ae8f28ccb9b88251bddcbc5a3204c82b3,Bill Pugh,2007-02-02 01:29:13 UTC,"some tweaks to SQL injection detector:
  Smarter about open and close quotes
  treat load from static array as untainted

git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@7460 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",false,false,false,false,false,true,false,false,1,1,1,1,4
spotbugs/spotbugs,d5c0ad8c20601e9f9ba2fb5b52fb387d3eca4e33,Bill Pugh,2007-02-03 21:12:14 UTC,"more tweaks to sql injection detector

git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@7473 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",false,false,false,false,false,false,false,false,1,1,1,1,6
spotbugs/spotbugs,3019eb0d6eabd4a00b01eca2e87a4db31bcea96b,Bill Pugh,2007-02-02 17:54:47 UTC,"Be more systematic about quotes in SQL injection detector

git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@7470 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",false,false,false,false,false,false,false,false,2,1,2,1,60
ChurchCRM/CRM,59bfc749d4bf95fd56831e1acfcabae8e95cf04f,timdearborn,2005-07-30 01:45:25 UTC,"Modified FilterInput function to escape special charaterics, protecting against SQL injection.
",false,false,false,false,false,false,false,false,1,1,1,1,7313
interchange/interchange,5bd0563212f4df2988e2a3825c2c8cca11c7e0d6,Mike Heins,2003-12-15 22:25:07 UTC,"* Fix possible code/SQL injection vector.
",true,false,false,false,false,false,false,false,1,1,1,1,5334
zulip/zulip,b501d04f6ab396ddb72cb92dc556095a36db8e12,Anders Kaseorg,2020-05-03 23:56:44 UTC,"semgrep: Lint against common SQL injection patterns.

Signed-off-by: Anders Kaseorg <dfdb7392591db597bc41cf266a9c3bc12a2706e5@zulip.com>
",false,false,false,false,false,false,false,false,1,1,0,0,0
HippieStation/HippieStation,fd268e7b18746eb181ad96a63bdddfac39014489,only.lurking@gmail.com,2012-01-29 20:56:05 UTC,"More SQL injection patches. Added a standardized method of SQL sanitization [sanitizeSQL()].
Corrected a href list vulnerability that let players spawn Arcane Tomes from non-e-magged library computers.
Tweaked and disabled forum_activation.dm. Way too many SQL vulnerabilities to justify keeping it around.


git-svn-id: af9c09e5e5bfa333f52f6fefeba857070ad34abf@3012 316c924e-a436-60f5-8080-3fe189b3f50e
",true,false,false,false,false,false,false,false,4,4,0,0,2928
HippieStation/HippieStation,c318a553ffa876bc42369bff72b6242d6486c218,only.lurking@gmail.com,2012-01-27 20:07:59 UTC,"Small SQL injection patch.

git-svn-id: af9c09e5e5bfa333f52f6fefeba857070ad34abf@2992 316c924e-a436-60f5-8080-3fe189b3f50e
",false,false,false,false,false,false,false,false,1,1,0,0,202749
eventum/eventum,417417862affc9e45f5a694e8f71f8c7a5ce6009,Bryan Alsdorf,2005-03-30 20:17:46 UTC,"Added more thorough input checking to prevent possible SQL Injection attacks

(Logical change 1.632)
",false,true,false,false,false,false,false,false,1,1,0,0,1399
DIRACGrid/DIRAC,8ec4c522e7973dc877233a75e68a81ed0f156aa3,Adria Casajus,2009-05-04 14:05:43 UTC,"Escaped all inputs to prevent SQL injection


git-svn-id: 573dd80a48c054542188d67043f0676471349dfe@15443 4525493e-7705-40b1-a816-d608a930855b
",true,false,false,false,false,false,false,false,1,1,1,1,7033
zaproxy/zaproxy,ff057e32d7265c4318c10041eb23f344890e0c19,thc202,2015-10-28 13:58:54 UTC,"Tidy up of scanners IDs (add, restore, fix duplicates and deprecate)

Add:
 - 41, Source Code Disclosure - Git
 - 42, Source Code Disclosure - SVN
 - 43, Source Code Disclosure - File Inclusion
 - 10094, Base64 Disclosure
 - 10095, Backup File Disclosure
 - 10096, Timestamp Disclosure
 - 10097, Hash Disclosure
 - 10098, Cross-Domain Misconfiguration
 - 10099, Source Code Disclosure
 - 20012, Anti CSRF Tokens Scanner
 - 90001, Insecure JSF ViewState
 - 90011, Charset Mismatch
 - 90033, Loosely Scoped Cookie

Restore:
 - 10049, Cacheability and Retrievability Content
 - 10050, Retrieved from Cache
 - 10051, Relative Path Confusion
 - 40025, Proxy Disclosure
The IDs were ""lost"" in another branch (the changes were not applied nor
merged to the main branch), @5520bcaff2c532bfad894fa1ca764f18b37867b1.

Fix duplicates (some caused by the lost IDs):
 - 10049 -> 10103, Image Location Scanner
 - 10050 -> 10104, TestUserAgent
 - 40017 -> 10105, Weak Authentication Method
 - 40025 -> 40026, Cross site scripting (DOM)

Deprecate (scanners no longer exist):
 - 10001, Secure page browser cache
 - 10013, Weak HTTP authentication over an unsecured connection
 - 10014, Cross Site Request Forgery
 - 10022, Information disclosure - database error messages
 - 40000, Cross site scripting
 - 40001, Cross site scripting in SCRIPT section
 - 40002, Cross site scripting without brackets
 - 40004, SQL Injection Fingerprinting
 - 40005, SQL Injection
 - 40006, MS SQL Injection Enumeration
 - 40007, Oracle SQL Injection Enumeration
 - 40010, Cross site scripting in TAG
 - 40011, Cross Site Scripting in TAG Attribute

Change name of 40012 to ""Cross Site Scripting (Reflected)"", the previous
name ""CSRF Token missing"" was from a scanner with same ID (which no
longer exist).
",true,true,true,true,false,false,true,false,1,1,0,0,7305
getredash/redash,54894c3a26f68d37759c560e6d4b8865dccfb63f,Omer Lachish,2018-12-03 11:12:34 UTC,"track sql injections using an event to detect false positives
",false,false,false,false,false,false,false,false,1,1,1,1,188
greenriver/boston-cas,49f800034547fd50f7c21dd8df34e617e5b5f6af,Sandy Wise,2018-12-13 21:11:33 UTC,"Create sort order via arel to avoid risk of SQL injection
",false,true,false,false,false,false,false,false,1,1,1,1,1459
getredash/redash,9579f12a83becf778a692acf185fc34ebb3efe1c,Omer Lachish,2018-12-02 19:51:06 UTC,"Protect against SQL injections by using tree comparisons (#3109)

* add SQLQuery class with tests for safe queries and non-safe tautology attacks

* add test for union query injections

* split .apply calls to newline

* add tests for comment attacks

* remove double underscore

* extract complex children check to variable

* inherit from object because I'm not a lamer

Co-Authored-By: rauchy <6a2b3fa376eaaefa628ba0e36b601bb1adab5658@rauchy.net>

* simplify cognitive complexity

* check that additional columns are not injected

* detect appended queries

* inline .apply calls

* move SQLQuery to it's own module

* move SQLQuery tests to their own module

* serialize SQLQuery instances

* raise an exception when attempting to serialize an unsafe query

* queries without parameters are safe

* remove redundant parentheses

* use cached properties

* rename SQLInjectionException to SQLInjectionError

* support multiple word params and param negations

* refactor out methods that don't involve any state

* don't cache text()

* reduce cognitive complexity
",false,true,true,true,false,false,false,false,3,1,3,1,4710
frappe/erpnext,0209ef0fc5b7ee0ca6493be1fa9e11179dc8f6f6,Himanshu,2018-12-25 12:12:31 UTC,"Quality Management System (#15893)

* Added QMS to ERPNext

* changes

* fixed

* code refracted

* refracted

* some bugs fixed

* changes

* changes

* test case

* bug fix unit test

* bug fix

* refracted code

* test warning fix

* test case bug fix

* removed whitespace

* indentation bug fix

* unit test bug fix

* fixed Tree

* bug fix

* bug fix

* code refactor

* fixed procedure tree

* removed unnecessary fields

* hide fields

* removed depricated unit test method

* sql injection bug fix

* code refactor and added mandatory fields

* Removed Add Child from TreeView

* Unit Test crashes Fix

* code refactor

* Fixed Status of Action

* removed add button from Chart of Procedure

* Fixed Unit Test for Quality Action

* Chamged Measurement Unit to UOM

* Changed Measurement Unit to UOM

* Quality Action Unit Test Fix

* Renamed Chart of Procedures to Tree of Procedures

* Changes Objective input type to Text

* Code Refactor

* Quality Action Status option changed to ""Close"" for consistency

* fixed action status indicator

* Removed vscode folder

* unit tests optimization

* unit test fixes

* code refactor

* gitignore

* bug fixes and code refactor

* code refactor

* unit test changes

* changed quality action unit test

* code refactor

* code refactor

* code refactor

* indentation

* code refactor

* corrected typo

* Removed jQuery hide()

* code refracted

* remove grid elements

* Removed unnecessary conditions

* onload fixed in feedback

* code refracted

* Removed add row button from Review and Customer Feedback

* made autofill feild read only

* automated scheduling of review
",true,false,true,true,false,false,false,true,81,67,65,51,
ElunaLuaEngine/ElunaTrinityWotlk,f8cb2f528ba2bc4d4006c529be41430d46031282,Vinolentus,2011-12-12 19:36:46 UTC,"Core/ObjectMgr: Fix possible SQL injection for game_tele
",true,false,false,false,false,false,false,false,1,1,1,1,131196
AshamaneProject/AshamaneCore,2ce58937fe03ec919876267576a7862065c42c8d,Vinolentus,2011-12-12 19:36:46 UTC,"Core/ObjectMgr: Fix possible SQL injection for game_tele
",true,false,false,false,false,false,false,false,1,1,1,1,131196
ElunaLuaEngine/ElunaTrinityWotlk,599a24df249ab43cb08864a6ffa19b1b769aab54,Vinolentus,2011-12-12 19:36:46 UTC,"Core/ObjectMgr: Fix possible SQL injection for game_tele
",true,false,false,false,false,false,false,false,1,1,1,1,131196
AshamaneProject/AshamaneCore,f8cb2f528ba2bc4d4006c529be41430d46031282,Vinolentus,2011-12-12 19:36:46 UTC,"Core/ObjectMgr: Fix possible SQL injection for game_tele
",true,false,false,false,false,false,false,false,1,1,1,1,131196
AshamaneProject/AshamaneCore,847c4eb2dbd86403e797098df5fa70794ccfba58,Vinolentus,2011-12-12 19:36:46 UTC,"Core/ObjectMgr: Fix possible SQL injection for game_tele
",true,false,false,false,false,false,false,false,1,1,1,1,131196
AshamaneProject/AshamaneCore,599a24df249ab43cb08864a6ffa19b1b769aab54,Vinolentus,2011-12-12 19:36:46 UTC,"Core/ObjectMgr: Fix possible SQL injection for game_tele
",true,false,false,false,false,false,false,false,1,1,1,1,131196
spotbugs/spotbugs,20b96ac8ffddbbe7262c99516f35bac794b19b3f,Bill Pugh,2005-03-22 21:02:17 UTC,"Bill has been a busy boy.

Fixed typos in messages.

Made DLS a style warning.

Fixed some problems with how DLS was being computed.

Added a check for an integer value being cast to a double and then passed
to Math.ceil.

Added toString methods for WarningPropertySets

Rewrote and simplified code to check for result of
integer division being cast to double

Expanded check for SQL injection. This now could catch to much, and we need to
add some data flow analysis to make it smarter.


git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@3782 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",true,false,true,false,false,true,false,false,11,11,7,7,7200
spotbugs/spotbugs,afcd4af37611477e82024e21a56104bbaa1df26e,Bill Pugh,2005-03-25 22:13:07 UTC,"More tweaks for DLS
Working on a new SQL injection detector (currently disabled)


git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@3837 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",false,false,false,false,false,false,false,false,6,6,4,4,1864
pgjdbc/pgjdbc,ad2546260b21f17f5ad096010f1a80790108f3cd,Barry Lind,2003-07-24 00:30:39 UTC,"Fixes additional sql injection vulnerabilities reported by Oliver Jowett
and Dmitry Tkach.  Specifically the previous fix still allowed the statement termination character through in unquoted places in the sql statement, and the driver never correctly handled someone passing a value of \0 in a string which under the v2 protocol would end the statement causing the following text to possibly
be treated as a new sql statement
 Modified Files:
 	jdbc/org/postgresql/Driver.java.in
 	jdbc/org/postgresql/jdbc1/AbstractJdbc1Statement.java
",true,false,false,false,false,false,false,false,2,2,1,1,2593
pgjdbc/pgjdbc,b207170370fa3982370504363495dc40d121508a,Barry Lind,2003-07-22 05:17:09 UTC,"Fix to prevent SQL injection attacks for code calling setObject(int,Object,int)
where Object is a user supplied String and the type is a numeric type
(i.e. INTEGER,LONG,etc).
Also applied a patch from Kim Ho that fixes compile problems under jdk1.2

 Modified Files:
 	jdbc/org/postgresql/Driver.java.in
 	jdbc/org/postgresql/jdbc1/AbstractJdbc1Statement.java
",true,false,false,false,false,false,false,false,2,2,1,1,508
BeWelcome/rox,2da1ec21511a02e1986acfd8d3ce03ad629546f6,guaka,2008-03-29 22:26:49 UTC,"adding percentage to translation overview, fixing one sql injection (many more needed), some nitpicking

git-svn-id: d788be251142534739cf50532120033c135e1faf@4432 4f49b16c-3c57-40ef-8e22-7452baa6c33a
",false,false,false,false,false,false,false,false,1,1,1,1,52
EUDAT-B2SHARE/b2share,c5114ac6d3e67a0772026b6d3204ce1d434b97b0,Marko Niinimaki,2008-03-28 10:58:17 UTC,"improved SQL clauses to prevent SQL injection
",true,false,true,true,false,false,false,false,1,1,1,1,59
bywatersolutions/ByWater-KOHA,79c37dc8ed3efd1886d6c5619b2d1eb004a19713,Joe Atzberger,2008-03-07 07:09:42 UTC,"basket.pl and template - Many fixes including SQL injection security check,

Signed-off-by: Joshua Ferraro <d80943125a911844a3c3deaf419ab4e1af1e85aa@liblime.com>
",true,false,false,false,false,false,false,false,2,2,1,1,19448
bywatersolutions/bws-package,79c37dc8ed3efd1886d6c5619b2d1eb004a19713,Joe Atzberger,2008-03-07 07:09:42 UTC,"basket.pl and template - Many fixes including SQL injection security check,

Signed-off-by: Joshua Ferraro <d80943125a911844a3c3deaf419ab4e1af1e85aa@liblime.com>
",true,false,false,false,false,false,false,false,2,2,1,1,19448
Koha-Community/Koha,79c37dc8ed3efd1886d6c5619b2d1eb004a19713,Joe Atzberger,2008-03-07 07:09:42 UTC,"basket.pl and template - Many fixes including SQL injection security check,

Signed-off-by: Joshua Ferraro <d80943125a911844a3c3deaf419ab4e1af1e85aa@liblime.com>
",true,false,false,false,false,false,false,false,2,2,1,1,19448
LMSCloud/Koha-LMSCloud,79c37dc8ed3efd1886d6c5619b2d1eb004a19713,Joe Atzberger,2008-03-07 07:09:42 UTC,"basket.pl and template - Many fixes including SQL injection security check,

Signed-off-by: Joshua Ferraro <d80943125a911844a3c3deaf419ab4e1af1e85aa@liblime.com>
",true,false,false,false,false,false,false,false,2,2,1,1,19448
Ashoat/squadcal,a15109f5f92d491582bc500a01bee5cb7bfc70e4,ashoat,2018-01-15 20:37:50 UTC,"Make log-in case insensitive

... and also fix a SQL injection vulnerability I somehow missed. Ouch.
",true,false,false,false,false,false,false,false,2,2,2,2,77
BeWelcome/rox,3289ea3f94f48b7216aa1e12cfe8793982aa0a08,jaliste,2008-01-25 11:20:04 UTC,"Adding escaping to some queries to avoid possibles Sql Injections and taking care of #322. 


git-svn-id: d788be251142534739cf50532120033c135e1faf@3808 4f49b16c-3c57-40ef-8e22-7452baa6c33a
",false,true,false,false,false,false,false,false,1,1,1,1,616
apache/commons-configuration,b3f082cdd7587dac8b5f75beea1e48fd42e38f84,Henri Yandell,2008-01-20 04:39:08 UTC,"Applying Hasan Diwan's patch to add a note that DatabaseConfiguration does not protect from SQL Injection - CONFIGURATION-304

git-svn-id: 0d31da9e303333003508381311333cf78a25d41b@613503 13f79535-47bb-0310-9956-ffa450edef68
",false,false,true,false,false,false,false,false,1,1,1,1,215461
vladmihalcea/high-performance-java-persistence,26796aca85ca945846ec79ffbd04c18c19a70b88,Vlad Mihalcea,2016-11-08 10:32:31 UTC,"Add more SQL injection examples
",false,false,true,false,false,false,false,false,1,0,1,0,2597
vladmihalcea/high-performance-java-persistence,031e2689b8d985a4da1b9d843383b51210f5bb54,Vlad Mihalcea,2016-11-06 15:15:20 UTC,"Add SQL Injection test
",false,true,false,false,false,false,false,false,2,0,2,0,4510
spotbugs/spotbugs,1f93fb9a34d7d5fa0ca31d3708297cd58a3024eb,Bill Pugh,2006-01-21 02:43:13 UTC,"tweak warnings for SQL injection


git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@5275 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",false,false,false,false,false,false,false,false,1,1,1,1,0
ChurchCRM/CRM,554bb674ddc92368e9d7d0c206cf90d169a3b5c8,mikewiltwork,2012-04-16 20:42:02 UTC,"Force deposit slip id to be an integer to defeat sql injection
",false,false,false,false,false,false,false,false,1,1,1,1,26403
GNOME/grilo-plugins,2414933730ca17ffe08be68a5faec8ccec9b4630,Bastien Nocera,2012-04-12 14:58:19 UTC,"metadata-store: Fix GET SQL injection

https://bugzilla.gnome.org/show_bug.cgi?id=673912
",true,false,false,false,false,false,false,false,1,1,1,1,5
wp-statistics/wp-statistics,a8fa05199a3b3ec4025f7d0c5b61724fd83233a8,Greg Ross,2015-07-09 14:09:11 UTC,"- Fixed: SQL injection issue.
",true,false,false,false,false,false,false,false,1,1,1,1,62
spotbugs/spotbugs,e441a248008c4cc1d4a77487387174f54403e49d,Bill Pugh,2005-12-13 16:18:00 UTC,"Enable SQL injection detection


git-svn-id: e7d6bde23f017c9ff4efd468d79d66def666766b@5151 eae3c2d3-9b19-0410-a86e-396b6ccb6ab3
",false,true,false,false,false,false,false,false,1,1,0,0,0
akrherz/iem,925e36fdb494d4e9e1bd4273313c803c42e45104,akrherz,2011-05-17 14:48:48 UTC,"no sql injection please and make sname sortable
",false,false,false,false,false,false,false,false,1,1,0,0,960
rails/rails,2575b3b065258162484ebbd2c809d5aa4ced56c7,David Heinemeier Hansson,2004-12-06 18:08:35 UTC,"Added extra words of caution for guarding against SQL-injection attacks

git-svn-id: afc9fed30c1a09d8801d1e4fbe6e01c29c67d11f@46 5ecf4fe2-1ee6-0310-87b1-e25e094e27de
",false,true,false,false,false,false,false,false,1,1,1,1,7317
FH-Complete/FHC-Core,f670f45d2f505b02dedc51bc61214354db9897b3,Andreas Österreicher,2014-12-01 10:07:21 UTC,"Diverse SQL-Injection Lücken geschlossen
",false,false,false,false,false,false,false,false,87,79,84,77,14491
akrherz/iem,c99c5cd8756424cc3418c890d5a68f5b0f00eea8,akrherz,2009-01-08 14:51:53 UTC,"adjust to only do SBW and not do sql injection :(

",false,false,false,false,false,false,false,false,1,1,1,1,593
backdrop-ops/backdrop-pantheon,7e2a90629d1e3f1ac444a13e63dd06801e089209,Dries Buytaert,2009-01-21 14:50:58 UTC,"- Patch #278675 by Dave Reid, pwolanin, drewish, robertDouglass: fixed possible SQL injection risk in node_access().  Already part of Drupal 6.
",true,false,false,false,false,false,false,false,1,1,1,1,3
AshamaneProject/AshamaneCore,3e63b6ca7cd93ca44a319ed47f1c0d6120a683eb,Blaymoira,2009-01-04 18:34:15 UTC,"* Fix reload tickets from database
* Fix crash /exploit issue with improper pasing when '%' is in ticket message
* Remove obsolete recv_data from tickets
* Allow closing of a ticket inserting the guid of the GM or player that closed it into the database.
* Allow assigning tickets to offline GMs.
* Tighten up SQL escape strings, increased security against SQL injections
* Fix issue where multiple tickets could have the same entry
* --- by Machiavelli ---

--HG--
branch : trunk
",true,false,true,true,false,false,false,false,6,6,4,4,37
ElunaLuaEngine/ElunaTrinityWotlk,0389ed45281b65c39b034bf4cc899dbdaf5d04ce,Blaymoira,2009-01-04 18:34:15 UTC,"* Fix reload tickets from database
* Fix crash /exploit issue with improper pasing when '%' is in ticket message
* Remove obsolete recv_data from tickets
* Allow closing of a ticket inserting the guid of the GM or player that closed it into the database.
* Allow assigning tickets to offline GMs.
* Tighten up SQL escape strings, increased security against SQL injections
* Fix issue where multiple tickets could have the same entry
* --- by Machiavelli ---

--HG--
branch : trunk
",true,false,true,true,false,false,false,false,6,6,4,4,37
TrinityCore/TrinityCore,0389ed45281b65c39b034bf4cc899dbdaf5d04ce,Blaymoira,2009-01-04 18:34:15 UTC,"* Fix reload tickets from database
* Fix crash /exploit issue with improper pasing when '%' is in ticket message
* Remove obsolete recv_data from tickets
* Allow closing of a ticket inserting the guid of the GM or player that closed it into the database.
* Allow assigning tickets to offline GMs.
* Tighten up SQL escape strings, increased security against SQL injections
* Fix issue where multiple tickets could have the same entry
* --- by Machiavelli ---

--HG--
branch : trunk
",true,false,true,true,false,false,false,false,6,6,4,4,37
AshamaneProject/AshamaneCore,0389ed45281b65c39b034bf4cc899dbdaf5d04ce,Blaymoira,2009-01-04 18:34:15 UTC,"* Fix reload tickets from database
* Fix crash /exploit issue with improper pasing when '%' is in ticket message
* Remove obsolete recv_data from tickets
* Allow closing of a ticket inserting the guid of the GM or player that closed it into the database.
* Allow assigning tickets to offline GMs.
* Tighten up SQL escape strings, increased security against SQL injections
* Fix issue where multiple tickets could have the same entry
* --- by Machiavelli ---

--HG--
branch : trunk
",true,false,true,true,false,false,false,false,6,6,4,4,37
splitbrain/dokuwiki,42ee9defc8cd47d809d5627779f9d9c867032238,andi,2005-05-14 19:22:08 UTC,"variuous auth_mysql fixes

This patch adds mor flexibility and security to the mysql_auth backend.
You now can omit the getgroupid and addusergroup configs if you don't need
them. The default groupname is available in addusergroup and adduser now, too.
Last but not least calls to addslashes were added to avoid SQL injection.

darcs-hash:20050514192208-9977f-d970834ca68a896e725c4911639a311217dee792.gz
",true,false,false,false,false,false,false,false,1,1,1,1,108
moodle/moodle,06abe84fde8c30681bc99f770875c28f40800359,bobopinna,2005-05-16 15:05:53 UTC,"Fixed a SQL injection from $scoid
",true,false,false,false,false,false,false,false,1,1,1,1,20
iomad/iomad,06abe84fde8c30681bc99f770875c28f40800359,bobopinna,2005-05-16 15:05:53 UTC,"Fixed a SQL injection from $scoid
",true,false,false,false,false,false,false,false,1,1,1,1,20
projectestac/agora_moodle2,06abe84fde8c30681bc99f770875c28f40800359,bobopinna,2005-05-16 15:05:53 UTC,"Fixed a SQL injection from $scoid
",true,false,false,false,false,false,false,false,1,1,1,1,20
bywatersolutions/bws-package,b0f60221f41041665c4fecacce35654fc8d45a01,Chris Nighswonger,2011-02-24 14:57:11 UTC,"Security Bugfix: Bug 1953 Adding Placeholders to SQL To Avoid Potential Injection Attacks

This patch addresses both security issues mentioned in the summary of the report
submitted by Frère Sébastien Marie included below.

---------------------------
The problem is here: 'C4/AuthoritiesMarc.pm' in the function 'DelAuthority':
The argument $authid is included directly (not via statement) in the SQL.

For the exploit of this problem, you can use 'authorities/authorities-home.pl'
with authid on the URL and op=delete (something like
""authorities/authorities-home.pl?op=delete&authid=xxx"").

This should successfully call DelAuthority, without authentification...
(DelAuthority is call BEFORE get_template_and_user, so before authentification
[This should be an issue also...]).

Please note that the problem isn't only that anyone can delete an authority of
this choose, it is more general: with ""authid=1%20or%1=1"" (after inclusion sql
will be like: ""delete from auth_header where authid=1 or 1=1"") you delete all
authorities ; with ""authid=1;delete%20from%xxx"" it is ""delete from auth_header
where authid=1;delete from xxx"" and so delete what you want...

SQL-INJECTION is very permissive: you can redirect the output in a file (with
some MySQL function), so write thea file of you choose in the server, in order
to create a backdoor, and compromise the server.

Signed-off-by: Frère Sébastien Marie <75bb7a385b394e76819a2e62a420b280277b72cb@latrappe.fr>
Signed-off-by: Chris Cormack <d7aa3da1d5912a8b3f7b831e4f9f40b8b3d7e8b1@catalyst.net.nz>
",true,true,true,false,false,false,false,false,2,2,2,2,149460
